can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,pos_id,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,position,team,now_cost_m,display_name,name_key
True,True,,,154561,0,0,0,0,0,1,5.0,4.5,0,David,0.0,1,False,,,55,154561.jpg,0.0,False,Raya Martín,16.6,False,,a,1,3,0,9812,9812,6370,6370,0.0,0.0,Raya,200.0,2024-07-04,1995-09-15,False,p154561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,504,80,505,80,502,80,505,80,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,130,4,534,80,534,80,27,4,0.0,0.0,0.0,GK,Arsenal,5.5,Raya,raya
True,True,,,109745,0,0,0,0,0,1,3.3,2.8,0,Kepa,0.0,2,False,,,45,109745.jpg,0.0,False,Arrizabalaga Revuelta,1.0,False,,a,1,3,0,491,491,753,753,0.0,0.0,Arrizabalaga,200.0,2025-07-01,1994-10-03,False,p109745,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,172,53,171,51,163,51,173,53,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,375,22,251,59,251,59,179,24,0.0,0.0,0.0,GK,Arsenal,4.5,Arrizabalaga,arrizabalaga
True,True,,,463748,0,0,0,0,0,1,2.0,1.5,0,Karl,0.0,3,False,,,40,463748.jpg,0.0,False,Hein,0.6,False,,a,1,3,0,422,422,456,456,0.0,0.0,Hein,67.0,2020-10-28,2002-04-13,False,p463748,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,88,31,87,29,78,29,89,31,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,620,64,176,38,176,38,227,30,0.0,0.0,0.0,GK,Arsenal,4.0,Hein,hein
True,True,,,551221,0,0,0,0,0,1,2.0,1.5,0,Tommy,0.0,4,False,,,40,551221.jpg,0.0,False,Setford,0.1,False,,a,1,3,0,126,126,182,182,0.0,0.0,Setford,241.0,2024-07-24,2006-03-13,False,p551221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,130,44,129,42,121,42,131,44,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,663,77,213,51,213,51,427,63,0.0,0.0,0.0,GK,Arsenal,4.0,Setford,setford
True,True,,,226597,0,0,0,0,0,2,5.0,4.5,0,Gabriel,0.0,5,False,,,60,226597.jpg,0.0,False,dos Santos Magalhães,18.3,False,,a,1,3,0,25152,25152,6331,6331,0.0,0.0,Gabriel,30.0,2020-09-01,1997-12-19,False,p226597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,602,225,603,225,602,224,603,225,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,99,5,618,224,618,224,24,10,0.0,0.0,0.0,DEF,Arsenal,6.0,Gabriel,gabriel
True,True,,,462424,0,0,0,0,0,2,5.0,4.5,0,William,0.0,6,False,,,60,462424.jpg,0.0,False,Saliba,13.8,False,,a,1,3,0,16642,16642,6160,6160,0.0,0.0,Saliba,73.0,2019-07-25,2001-03-24,False,p462424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,608,227,609,227,608,226,609,227,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,105,7,624,226,624,226,31,12,0.0,0.0,0.0,DEF,Arsenal,6.0,Saliba,saliba
True,True,,,466075,0,0,0,0,0,2,4.3,3.8,0,Riccardo,0.0,7,False,,,55,466075.jpg,0.0,False,Calafiori,0.7,False,,a,1,3,0,1185,1185,846,846,0.0,0.0,Calafiori,106.0,2024-07-29,2002-05-19,False,p466075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,553,217,554,217,553,216,554,217,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,182,25,578,215,578,215,212,77,0.0,0.0,0.0,DEF,Arsenal,5.5,Calafiori,calafiori
True,True,,,445122,0,0,0,0,0,2,4.3,3.8,0,Jurriën,0.0,8,False,,,55,445122.jpg,0.0,False,Timber,2.3,False,,a,1,3,0,2360,2360,1382,1382,0.0,0.0,J.Timber,152.0,2023-07-14,2001-06-17,False,p445122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,549,215,550,215,549,214,550,215,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,178,23,574,213,574,213,114,40,0.0,0.0,0.0,DEF,Arsenal,5.5,J.Timber,j.timber
True,True,,,440854,0,0,0,0,0,2,4.3,3.8,0,Jakub,0.0,9,False,,,55,440854.jpg,0.0,False,Kiwior,0.1,False,,a,1,3,0,77,77,129,129,0.0,0.0,Kiwior,172.0,2023-01-23,2000-02-15,False,p440854,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,544,213,545,213,544,212,545,213,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,173,21,571,212,571,212,452,175,0.0,0.0,0.0,DEF,Arsenal,5.5,Kiwior,kiwior
True,True,,,499169,0,0,0,0,0,2,4.3,3.8,0,Myles,0.0,10,False,,,55,499169.jpg,0.0,False,Lewis-Skelly,4.4,False,,a,1,3,0,5092,5092,2971,2971,0.0,0.0,Lewis-Skelly,241.0,2022-12-04,2006-09-26,False,p499169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,564,220,565,220,564,219,565,220,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,193,28,589,218,589,218,78,27,0.0,0.0,0.0,DEF,Arsenal,5.5,Lewis-Skelly,lewis-skelly
