can_transact,can_select,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,pos_id,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,removed,second_name,selected_by_percent,special,squad_number,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,region,team_join_date,birth_date,has_temporary_code,opta_code,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,defensive_contribution_per_90,position,team,now_cost_m,display_name,name_key,avg_points_past2,diff,fixture_bonus,promoted_penalty,team_modifier,fpl_score,starting_XI,next_opponent,venue,fixture_difficulty,baseline_points,points_adjustment,projected_points,proj_pts,form_disp,hist_pts,fix_bonus,fpl_score_disp,squad_role
True,True,,,111234,0,0,0,0,0,1,4.0,4.5,0,Jordan,0.0,287,False,,,55,111234.jpg,0.0,False,Pickford,11.6,False,,a,9,11,0,2976,2976,3308,3308,0.0,0.0,Pickford,241.0,2017-07-01,1994-03-07,False,p111234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,495,78,495,77,492,77,496,78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,120,1,505,78,505,78,36,5,0.0,0.0,0.0,GK,Everton,5.5,Pickford,pickford,156.5,2.0,4.0,0.0,1.0,2.2116392645823524,1.0,Leeds,Away,2,4.0,3.3174588968735286,7.317458896873529,7.3,0.0,156,4.0,2.21,Starting XI
True,True,,,199798,0,0,0,0,0,2,1.9,1.4,1,Ezri,1.0,38,False,,,45,199798.jpg,1.0,False,Konsa Ngoyo,23.1,False,,a,2,7,1,9922,9922,2878,2878,0.2,0.2,Konsa,241.0,2019-07-11,1997-10-23,False,p199798,6,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,1,0.00,0.00,0.00,0.53,192,118,191,118,183,113,193,118,,,,,,,0.0,0.0,0.0,0.0,7.95,0.0,395,89,24,8,24,8,15,5,15.0,0.0,0.0,DEF,Aston Villa,4.5,Konsa,konsa,99.39999999999999,3.0,3.0,0.0,1.0,0.968770287869232,1.0,Newcastle,Home,3,4.5,1.453155431803848,5.953155431803848,6.0,1.0,99,3.0,0.97,Starting XI
True,True,,,432830,0,0,0,0,0,2,2.6,2.6,0,Nathan,0.0,106,False,,,50,432830.jpg,0.0,False,Collins,1.8,False,,a,5,94,0,612,612,471,471,0.0,0.0,Collins,104.0,2023-07-04,2001-04-30,False,p432830,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,427,190,427,190,424,188,428,190,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,292,50,439,190,439,190,134,46,0.0,0.0,0.0,DEF,Brentford,5.0,Collins,collins,114.1,3.0,3.0,0.0,1.0,1.1921216219068347,1.0,Nott'm Forest,Away,3,4.5,1.788182432860252,6.288182432860252,6.3,0.0,114,3.0,1.19,Starting XI
True,True,,,244723,0,0,0,0,0,2,2.6,2.1,0,Tyrick,0.0,258,False,,,50,244723.jpg,0.0,False,Mitchell,1.2,False,,a,8,31,0,672,672,366,366,0.0,0.0,Mitchell,241.0,2019-12-15,1999-09-01,False,p244723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,417,188,417,188,414,186,418,188,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,282,48,429,188,429,188,162,58,0.0,0.0,0.0,DEF,Crystal Palace,5.0,Mitchell,mitchell,121.79999999999998,4.0,2.0,0.0,1.0,0.9338217911553905,1.0,Chelsea,Away,4,4.5,1.4007326867330858,5.900732686733086,5.9,0.0,122,2.0,0.93,Starting XI
True,True,,,441164,0,0,0,0,0,2,2.8,3.8,0,Pedro,0.0,568,False,,,55,441164.jpg,0.0,False,Porro Sauceda,22.8,False,,a,18,6,0,11241,11241,5377,5377,0.0,0.0,Pedro Porro,200.0,2023-07-01,1999-09-13,False,p441164,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,545,214,546,214,545,213,546,214,2.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,174,22,552,212,552,212,16,6,0.0,0.0,0.0,DEF,Spurs,5.5,Pedro Porro,pedro porro,109.39999999999999,2.0,4.0,0.0,1.1,1.6456036933203027,1.0,Burnley,Home,2,4.5,2.468405539980454,6.968405539980454,7.0,0.0,109,4.0,1.65,Starting XI
True,True,,,244851,0,0,0,0,0,3,3.6,3.6,0,Cole,0.0,235,False,,,105,244851.jpg,0.0,False,Palmer,63.6,False,,a,7,8,0,10937,10937,5512,5512,0.0,0.0,Palmer,241.0,2023-09-01,2002-05-06,False,p244851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,686,306,686,306,686,306,686,306,4.0,,1.0,,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,4,2,686,306,686,306,1,1,0.0,0.0,0.0,MID,Chelsea,10.5,Palmer (V),palmer,223.0,3.0,3.0,0.0,1.0,2.846744769981318,1.0,Crystal Palace,Home,3,5.0,4.270117154971977,9.270117154971977,9.3,0.0,223,3.0,2.85,Starting XI
True,True,,,118748,0,0,0,0,1,3,4.5,5.0,8,Mohamed,8.0,381,True,,,145,118748.jpg,8.0,False,Salah,54.6,False,,a,12,14,8,13247,13247,7329,7329,0.6,0.6,M.Salah,63.0,2017-07-01,1992-06-15,False,p118748,90,1,0,0,2,0,0,0,0,0,0,1,35,48.0,33.8,51.0,13.3,1,9,0,10,1,0.26,0.11,0.37,1.63,4,3,4,4,1,1,2,2,,,4.0,,1.0,,0.26,0.0,0.11,0.37,1.63,2.0,1,1,3,2,3,2,3,2,1.0,0.0,10.0,MID,Liverpool,14.5,M.Salah (C),m.salah,240.79999999999998,3.0,3.0,0.0,1.0,3.117197405754741,1.0,Bournemouth,Home,3,5.0,4.675796108632111,9.675796108632111,9.7,8.0,241,3.0,3.12,Starting XI
True,True,,,446008,0,0,0,0,0,3,2.6,2.1,0,Bryan,0.0,119,False,,,80,446008.jpg,0.0,False,Mbeumo,13.9,False,,a,14,1,0,4437,4437,6096,6096,0.0,0.0,Mbeumo,38.0,2025-07-21,1999-08-07,False,p446008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,678,301,678,301,678,301,678,301,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18,12,679,301,679,301,30,8,0.0,0.0,0.0,MID,Man Utd,8.0,Mbeumo,mbeumo,203.29999999999998,4.0,2.0,0.0,1.1,2.3893432285342664,1.0,Arsenal,Home,4,5.0,3.5840148428013996,8.5840148428014,8.6,0.0,203,2.0,2.39,Starting XI
True,True,,,460842,0,0,0,0,0,3,1.7,2.7,0,Mohammed,0.0,582,False,,,65,460842.jpg,0.0,False,Kudus,24.9,False,,a,18,6,0,7064,7064,10122,10122,0.0,0.0,Kudus,81.0,2025-07-10,2000-08-02,False,p460842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,639,274,640,274,640,274,640,274,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,68,48,644,277,644,277,12,4,0.0,0.0,0.0,MID,Spurs,6.5,Kudus,kudus,115.29999999999998,2.0,4.0,0.0,1.1,1.7442125475994892,1.0,Burnley,Home,2,5.0,2.6163188213992337,7.616318821399234,7.6,0.0,115,4.0,1.74,Starting XI
True,True,,,178301,0,0,0,0,0,4,2.8,2.3,1,Ollie,1.0,64,False,,,90,178301.jpg,1.0,False,Watkins,28.0,False,,a,2,7,1,20935,20935,11703,11703,0.1,0.1,Watkins,241.0,2020-09-09,1995-12-30,False,p178301,6,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,1,0.00,0.00,0.00,0.53,682,70,682,70,682,70,682,70,,,,,3.0,,0.0,0.0,0.0,0.0,7.95,0.0,7,3,49,4,49,4,7,2,15.0,0.0,0.0,FWD,Aston Villa,9.0,Watkins,watkins,198.59999999999997,3.0,3.0,0.0,1.0,2.4760119434155015,1.0,Newcastle,Home,3,5.5,3.714017915123252,9.214017915123252,9.2,1.0,199,3.0,2.48,Starting XI
